,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
6428,627,2,0,39,5,124586.93,1,1,0,93132.61
9992,726,1,1,36,2,0.0,1,1,0,195192.4
12320,731,2,1,37,3,116880.53,1,0,0,172718.35
5896,744,1,1,30,1,128065.12,1,1,0,121525.48
11840,604,0,1,33,3,0.0,1,1,0,42171.13
2564,667,0,0,38,6,144432.04,1,1,1,73963.17
6051,723,1,0,45,4,0.0,2,1,0,37214.39
1146,614,2,0,30,3,131344.52,2,1,0,54776.64
1937,701,0,1,30,3,156660.72,2,1,0,45742.42
7809,579,1,1,43,2,145843.82,1,1,1,198402.37
1031,631,0,0,22,3,0.0,2,0,0,30781.77
3884,709,0,1,31,6,0.0,2,1,1,71009.84
7900,785,1,0,54,1,0.0,2,1,0,45113.92
5652,691,0,0,29,9,0.0,2,0,0,199635.93
8703,661,0,0,31,3,136067.82,2,1,0,65567.91
13504,728,2,0,35,8,125884.95,2,1,0,54359.02
3336,690,1,1,36,10,0.0,2,1,0,55902.93
8736,636,0,1,44,2,0.0,2,0,0,86414.41
3858,695,0,1,45,9,43134.65,1,0,1,77330.35
96,773,1,1,41,9,102827.44,1,0,1,64595.25
14385,651,0,1,56,2,0.0,1,1,0,114522.68
3130,795,1,0,56,5,0.0,1,1,0,35418.69
2474,739,0,0,37,8,0.0,2,1,0,191557.1
3931,706,0,0,35,8,178032.53,1,0,1,42181.68
2627,571,2,1,25,6,82506.72,2,1,0,167705.07
3773,749,0,0,35,3,0.0,3,1,1,132649.85
12820,665,1,0,42,2,156371.61,2,0,1,156774.94
2239,493,0,0,31,3,0.0,1,1,1,176570.28
11032,803,0,1,42,5,0.0,1,1,0,196466.83
14763,443,0,0,54,3,138547.97,1,1,1,70196.23
7144,554,2,0,55,0,108477.27,1,0,1,140003.0
12965,457,0,1,41,8,73700.12,3,1,1,185750.02
12247,573,2,0,47,4,152522.47,1,0,1,164038.07
3027,774,0,0,42,3,137781.65,1,0,0,199316.19
9868,718,0,0,43,0,93143.39,1,1,0,167554.86
2389,655,1,0,35,1,82231.51,2,1,0,88798.02
5872,658,1,1,21,7,0.0,2,0,1,154279.87
8993,547,0,0,35,4,0.0,1,1,1,133287.73
1592,521,1,1,29,3,60280.62,1,1,0,154271.41
2391,850,0,1,31,3,0.0,2,1,0,121866.87
3082,483,0,0,44,5,136836.49,1,1,0,192359.9
9330,630,0,1,34,9,0.0,2,1,1,114006.35
6461,710,0,0,36,4,116085.06,1,1,0,58601.61
10864,616,0,1,44,5,102016.38,1,0,1,178235.37
8784,638,2,0,41,9,144326.09,1,1,0,73979.85
14464,585,1,0,56,1,128472.8,1,1,0,186476.91
13996,524,1,0,32,6,0.0,1,1,1,132861.9
12920,611,0,1,58,8,0.0,2,0,1,107665.68
15695,542,0,1,39,3,135096.77,1,1,1,14353.43
2901,498,0,1,73,2,170241.7,2,1,1,165407.96
4099,696,0,1,34,9,150856.79,1,0,1,8236.78
12831,598,0,0,43,5,0.0,3,1,1,100722.72
13029,637,2,0,39,3,109698.41,1,1,1,88391.29
2540,550,2,0,45,8,111257.59,1,0,0,97623.42
11786,642,2,0,56,6,103244.86,2,1,0,143049.72
9102,445,2,0,61,2,137655.31,1,0,1,29909.84
6084,562,2,0,31,9,117153.0,1,1,1,108675.01
9626,813,1,1,27,1,137275.36,1,0,1,115733.16
2354,731,2,1,35,2,127862.93,2,1,0,139083.7
14722,350,0,0,40,0,111098.85,1,1,1,172321.21
8099,633,0,1,38,2,91902.56,2,1,1,107673.35
7948,705,0,1,25,3,113736.27,1,0,1,196864.61
13071,619,1,0,44,6,52831.13,1,1,1,112649.22
4184,598,2,1,59,8,118210.42,2,0,0,60192.14
13334,805,1,0,39,5,165272.13,1,1,0,14109.85
2576,645,1,1,36,4,59893.85,2,1,0,43999.64
7998,829,2,1,28,3,132405.52,3,1,0,104889.2
10194,612,2,1,44,2,115163.38,1,1,1,97677.52
11025,562,0,0,51,1,124662.54,1,1,1,65390.46
9841,567,2,0,46,1,68238.51,2,1,1,109572.58
6323,550,0,1,34,8,122359.5,1,0,0,116495.55
15474,606,2,0,41,4,132670.53,1,1,0,156476.36
1281,790,1,1,46,8,182364.53,1,0,0,139266.48
6735,842,0,0,37,4,132446.08,2,1,0,87071.18
8482,632,0,0,34,2,0.0,2,0,0,165385.55
10776,786,2,0,33,0,122325.58,1,0,0,34712.34
7286,680,0,0,43,4,0.0,2,1,1,58761.33
8528,534,1,1,35,4,0.0,2,0,0,9541.15
6072,628,0,1,45,9,0.0,2,1,1,96862.56
7337,676,0,0,34,8,82909.14,1,1,0,91817.38
9232,618,0,0,49,9,44301.43,3,1,1,89729.3
7782,585,0,1,54,8,87105.32,1,1,1,55346.14
415,626,1,1,26,8,0.0,2,0,0,191420.71
15568,513,0,1,44,1,63562.02,2,0,1,52629.73
6266,537,1,0,33,7,136082.0,1,1,0,62746.54
14244,689,1,0,28,5,95328.6,1,1,0,6129.61
710,540,0,1,48,0,148116.48,1,0,0,116973.48
7764,685,2,0,44,2,119657.53,1,1,0,145387.05
3528,692,0,1,28,5,61581.97,1,1,1,70179.91
4503,656,0,1,33,7,138705.02,2,1,0,37136.15
2528,604,0,1,26,8,149542.52,2,0,1,197911.52
13120,638,2,0,53,1,123916.67,1,1,0,16657.68
10092,600,0,0,37,4,0.0,3,1,0,7312.25
5623,586,1,1,42,6,0.0,2,1,1,123410.23
2893,657,0,1,50,9,0.0,2,0,0,37171.46
13766,705,2,0,54,3,125889.3,3,1,0,96013.5
15663,710,0,1,47,5,158623.14,1,0,0,83499.89
10117,707,2,0,48,7,105086.74,1,1,1,180344.69
10842,543,0,1,42,4,89838.71,3,1,0,85983.54
4885,562,1,1,41,5,165445.04,2,1,0,85787.31
4091,599,2,1,39,2,188976.89,2,0,1,176142.09
12691,619,0,1,44,3,116967.68,1,1,0,5075.17
2888,795,2,1,37,2,139265.63,2,1,1,198745.94
12970,624,2,1,54,3,116726.22,1,1,0,110498.1
1523,598,1,1,41,8,0.0,2,1,1,161954.43
8774,452,0,0,33,6,131698.57,2,1,0,151623.91
10119,687,2,0,47,1,91219.29,1,0,0,158845.49
14294,713,1,0,48,1,163760.82,1,0,0,157381.14
1406,572,1,1,23,2,126873.52,1,0,1,67040.12
7142,612,1,0,63,2,131629.17,2,1,0,122109.58
12464,636,2,1,67,7,136709.35,1,0,1,66753.1
11748,591,2,0,51,8,132508.3,1,1,1,161304.68
5804,625,2,0,35,5,86147.46,2,1,0,163440.8
10767,678,2,1,49,2,116933.11,1,1,0,195053.58
1811,779,0,0,26,0,0.0,2,0,1,111906.0
5465,647,2,0,41,1,85906.65,3,1,0,189159.97
9384,771,0,0,57,4,0.0,1,0,0,85876.67
11710,493,0,1,54,3,167831.88,2,1,0,150159.95
10599,646,0,1,50,0,104129.24,2,1,0,181794.86
10730,560,1,1,47,1,0.0,1,0,0,128882.66
7637,766,0,1,32,6,185714.28,1,1,1,102502.5
6018,731,0,1,30,7,0.0,2,0,1,143086.09
11294,608,0,1,59,1,0.0,1,1,0,70649.64
14538,460,2,0,40,6,119507.58,2,1,0,91560.63
5943,645,0,0,55,7,0.0,2,1,1,18369.33
1486,642,0,0,39,4,0.0,1,1,1,76821.24
12101,709,0,0,36,7,0.0,1,0,1,42085.58
12568,376,0,0,46,6,0.0,1,1,0,157333.69
774,636,2,1,49,6,113599.74,2,1,0,158887.09
1631,350,1,1,54,1,152677.48,1,1,1,191973.49
11140,783,1,0,44,3,81811.71,1,1,0,164213.53
6690,573,2,1,30,8,127406.5,1,1,0,192950.6
469,753,0,1,35,3,0.0,2,1,1,184843.77
15513,575,0,1,36,7,0.0,1,1,1,55868.97
8842,614,0,0,27,9,106414.57,2,0,0,77500.81
9478,782,2,0,53,1,81571.05,1,1,0,182960.46
13574,805,2,1,56,6,151802.29,1,1,0,46791.09
6760,661,0,1,41,5,0.0,1,0,1,88279.6
7947,639,1,0,35,5,136526.26,2,1,0,59653.03
10491,439,1,1,52,3,96196.24,4,1,0,198874.52
598,683,2,0,57,5,162448.69,1,0,0,9221.78
4562,678,2,1,36,1,117864.85,2,1,0,27619.06
7315,502,2,0,33,6,125241.17,2,1,1,158736.07
8724,668,1,0,30,8,0.0,2,1,0,138465.7
11001,772,2,1,42,3,75075.31,2,1,0,92888.52
4659,410,2,0,50,2,102278.79,2,1,0,89822.48
